session_id,startTime,endTime,ProductList,gender
u16159,2015-12-14 18:11,2015-12-14 18:12,A00002/B00003/C00006/D28435/;A00002/B00003/C00006/D02554/;A00002/B00003/C00006/D28436/;A00002/B00003/C00006/D28437/,female
u10253,2016-12-14 14:35,2016-12-14 14:41,A00001/B00009/C00031/D29404/;A00001/B00009/C00031/D02617/;A00001/B00009/C00031/D29407/;A00001/B00009/C00031/D29410/;A00001/B00009/C00031/D29411/;A00001/B00009/C00031/D25444/;A00001/B00009/C00031/D29418/,male
u19037,2001-12-14 15:58,2001-12-14 15:58,A00002/B00001/C00020/D16944/,female
u14556,2023-11-14 2:57,2023-11-14 3:00,A00002/B00004/C00018/D10284/;A00002/B00004/C00018/D10285/;A00002/B00004/C00018/D10286/,female
u24295,2017-12-14 16:44,2017-12-14 16:46,A00001/B00001/C00012/D30805/;A00001/B00001/C00012/D30806/,male
u20964,2012-12-14 15:31,2012-12-14 15:31,A00002/B00002/C00081/D25039/,female
u20981,2005-12-14 19:33,2005-12-14 19:34,A00002/B00011/C00180/D18487/;A00002/B00011/C00114/D18459/,female
u15947,2009-12-14 16:02,2009-12-14 16:06,A00002/B00001/C00059/D15254/;A00002/B00001/C00059/D00900/;A00002/B00002/C00002/D02063/,male
u18193,2025-11-14 11:55,2025-11-14 11:55,A00002/B00001/C00010/D06129/,male
u21820,2006-12-14 16:16,2006-12-14 16:17,A00002/B00001/C00010/D12841/;A00002/B00002/C00112/D20047/,female
u13480,2015-11-14 12:32,2015-11-14 12:32,A00002/B00007/C00024/D02625/,female
u14242,2008-12-14 22:42,2008-12-14 22:42,A00002/B00002/C00002/D22971/,female
u11583,2022-12-14 13:12,2022-12-14 13:22,A00002/B00001/C00150/D35471/;A00002/B00001/C00049/D33572/;A00002/B00001/C00150/D35478/;A00002/B00001/C00177/D02157/;A00002/B00001/C00177/D03547/;A00002/B00001/C00150/D35483/,female
u13018,2017-11-14 20:53,2017-11-14 20:53,A00001/B00031/C00044/D01652/;A00001/B00031/C00044/D01867/,male
u22050,2007-12-14 23:28,2007-12-14 23:28,A00002/B00002/C00002/D21686/;A00002/B00002/C00007/D02584/,female
